month,sample_size,nucleotide_diversity,country
2024-10-01,17,0.00146159384762964,Mexico
2024-12-01,8,0.00202006082322522,Mexico
2025-01-01,17,0.0025558077046138,Mexico
2025-02-01,57,0.00233203208221295,Mexico
2020-01-01,8,2.429543245869777e-4,Australia
2020-02-01,11,1.4272563930290338e-4,Australia
2020-03-01,756,2.7829701895727184e-4,Australia
2020-04-01,314,3.1829901222626636e-4,Australia
2020-05-01,50,4.299803779298063e-4,Australia
2020-06-01,438,4.193437118015792e-4,Australia
2020-07-01,728,2.0865963518307216e-4,Australia
2020-08-01,492,2.902705155504446e-4,Australia
2020-09-01,448,4.539888154427339e-4,Australia
2020-10-01,165,8.407373709300217e-4,Australia
2020-11-01,62,7.557276933085729e-4,Australia
2020-12-01,168,8.239997129894826e-4,Australia
2021-01-01,133,0.00171405498765548,Australia
2021-02-01,100,0.00146350989806155,Australia
2021-03-01,199,0.00184812634535413,Australia
2021-04-01,193,0.00236328674486855,Australia
2021-05-01,116,0.00242115356060818,Australia
2021-06-01,190,0.00173112110083316,Australia
2021-07-01,327,3.747064247409555e-4,Australia
2021-08-01,231,1.9663158919201745e-4,Australia
2021-09-01,568,1.5102657720163966e-4,Australia
2021-10-01,448,4.414668311061149e-4,Australia
2021-11-01,494,5.644979270938767e-4,Australia
2021-12-01,713,0.00429916025539495,Australia
2022-01-01,657,7.04132815251946e-4,Australia
2022-02-01,768,0.00120949406957823,Australia
2022-03-01,863,0.00148554415987614,Australia
2022-04-01,872,5.220385569093014e-4,Australia
2022-05-01,876,5.370964076515842e-4,Australia
2022-06-01,833,8.314925848432413e-4,Australia
2022-07-01,852,6.153155527486711e-4,Australia
2022-08-01,834,6.707202284877821e-4,Australia
2022-09-01,814,0.00100474636383667,Australia
2022-10-01,869,0.00162134960299113,Australia
2022-11-01,899,0.0022485184061285,Australia
2022-12-01,906,0.00245201224709286,Australia
2023-01-01,897,0.0022844338726173,Australia
2023-02-01,771,0.00273256390849874,Australia
2023-03-01,619,0.00352761094200938,Australia
2023-04-01,647,0.00342337779735429,Australia
2023-05-01,677,0.00342369262259094,Australia
2023-06-01,633,0.00422376120453922,Australia
2023-07-01,597,0.00464406986550486,Australia
2023-08-01,685,0.00475736086675023,Australia
2023-09-01,651,0.00417697538575862,Australia
2023-10-01,623,0.00437176440576074,Australia
2023-11-01,702,0.00501473316106633,Australia
2023-12-01,809,0.00600913887517716,Australia
2024-01-01,826,0.00298569426185444,Australia
2024-02-01,857,0.00154986033249916,Australia
2024-03-01,826,0.00104347639147646,Australia
2024-04-01,767,0.00117937791391563,Australia
2024-05-01,779,0.00126759832481638,Australia
2024-06-01,746,0.00117365652957814,Australia
2024-07-01,690,0.00119480356205156,Australia
2024-08-01,623,0.00102562392632563,Australia
2024-09-01,565,0.00118328979457388,Australia
2024-10-01,690,0.00120139648540399,Australia
2024-11-01,813,0.00121881969068633,Australia
2024-12-01,521,0.00118704407869674,Australia
2025-01-01,585,0.00128653506847055,Australia
2025-02-01,512,0.00144412618248007,Australia
2020-03-01,245,2.217962553890811e-4,New Zealand
2020-04-01,123,2.0523808112428551e-4,New Zealand
2020-08-01,60,5.986911839650396e-5,New Zealand
2020-09-01,29,6.470870843641543e-4,New Zealand
2020-10-01,44,6.414658836942394e-4,New Zealand
2020-11-01,36,9.097289402266774e-4,New Zealand
2020-12-01,35,0.001211444440526,New Zealand
2021-01-01,33,0.00167779527259949,New Zealand
2021-02-01,27,0.00142081091261815,New Zealand
2021-03-01,37,0.00144976390447495,New Zealand
2021-04-01,41,0.00146379926922722,New Zealand
2021-05-01,10,0.00254082555870044,New Zealand
2021-06-01,13,0.00223524472315483,New Zealand
2021-07-01,27,8.920828005334698e-4,New Zealand
2021-08-01,603,7.05685118497901e-5,New Zealand
2021-09-01,524,8.842545796949301e-5,New Zealand
2021-10-01,987,9.60888549722539e-5,New Zealand
2021-11-01,989,2.4068021698036516e-4,New Zealand
2021-12-01,908,0.00186410590780297,New Zealand
2022-01-01,689,0.00459341260627597,New Zealand
2022-02-01,609,0.00249861135150153,New Zealand
2022-03-01,726,7.664143613053163e-4,New Zealand
2022-04-01,834,2.9638719785982434e-4,New Zealand
2022-05-01,921,3.752420316005429e-4,New Zealand
2022-06-01,941,7.866165551425175e-4,New Zealand
2022-07-01,971,7.272974290855398e-4,New Zealand
2022-08-01,983,5.33418588295271e-4,New Zealand
2022-09-01,982,7.469575897529477e-4,New Zealand
2022-10-01,978,0.001230857579297,New Zealand
2022-11-01,971,0.00216778824898888,New Zealand
2022-12-01,936,0.00272566549430191,New Zealand
2023-01-01,912,0.00256414316812396,New Zealand
2023-02-01,724,0.00317450650259213,New Zealand
2023-03-01,978,0.00331897826481091,New Zealand
